,titulos,superficie,recamaras,precio,ubicacion,imagen,calle,colonia,municipio,estado
790,"Rar10378, Lomas De San Lorenzo, Departamento En Renta",100.0,3,13000.0,"['Pedro Guzman', 'Lomas De San Lorenzo', 'Atizapán De Zaragoza', 'Estado De México']",https://http2.mlstatic.com/D_NQ_NP_631953-MLM50108600001_052022-W.webp,Pedro Guzman,Lomas De San Lorenzo,Atizapán De Zaragoza,Estado De México
791,Departamentos En Cumbres De Maltrata,72.0,2,12150.0,"['Cumbres De Maltrata 390 Int. 14', 'Narvarte Poniente', 'Benito Juárez', 'Distrito Federal']",https://http2.mlstatic.com/D_NQ_NP_663858-MLM50089398146_052022-W.webp,Cumbres De Maltrata 390 Int. 14,Narvarte Poniente,Benito Juárez,Distrito Federal
792,Condominio En Renta Dos Recamaras  En New City,130.0,2,35628.0,"['Blvrd Gral. M. Marquez De Leon', 'Zona Urbana Río Tijuana', 'Tijuana', 'Baja California']",https://http2.mlstatic.com/D_NQ_NP_824017-MLM50057053309_052022-W.webp,Blvrd Gral. M. Marquez De Leon,Zona Urbana Río Tijuana,Tijuana,Baja California
793,"Departamento En Renta Santa Cruz Atoyac, Benito Juárez.",87.0,2,18000.0,"['Av. Emiliano Zapata (eje 7a Sur) 360 Departamento 301 Torre B Edif. 1', 'Santa Cruz Atoyac', 'Benito Juárez', 'Distrito Federal']",https://http2.mlstatic.com/D_NQ_NP_932530-MLM50061407988_052022-W.webp,Av. Emiliano Zapata (eje 7a Sur) 360 Departamento 301 Torre B Edif. 1,Santa Cruz Atoyac,Benito Juárez,Distrito Federal
794,"Rar10362, Irrigacion, Departamento En Renta",66.0,2,19000.0,"['Presa Tesoyo', 'Irrigación', 'Miguel Hidalgo', 'Distrito Federal']",https://http2.mlstatic.com/D_NQ_NP_619809-MLM50108832039_052022-W.webp,Presa Tesoyo,Irrigación,Miguel Hidalgo,Distrito Federal
795,Departamento Cerca De Av. Marina Nacional,110.0,2,16600.0,"['Calzada Manuel Villalongin 213 Int. 205', nan, 'Cuauhtémoc', 'Distrito Federal']",https://http2.mlstatic.com/D_NQ_NP_651465-MLM50057977944_052022-W.webp,Calzada Manuel Villalongin 213 Int. 205,,Cuauhtémoc,Distrito Federal
796,"Renta Departamento, Excelente Iluminación, Cerca Torres Lindavista | No Mascota | 123 M²",123.0,3,13500.0,"['Faro De Alejandría', 'Centro', 'Toluca', 'Estado De México']",https://http2.mlstatic.com/D_NQ_NP_849927-MLM50108597342_052022-W.webp,Faro De Alejandría,Centro,Toluca,Estado De México
797,Excelente Departamento Centrico,64.0,3,15000.0,"['Héroes 229', 'Guerrero', 'Cuauhtémoc', 'Distrito Federal']",https://http2.mlstatic.com/D_NQ_NP_624319-MLM50060851384_052022-W.webp,Héroes 229,Guerrero,Cuauhtémoc,Distrito Federal
798,"Departamento Sobre Av. San Isidro, Muy Cerca De Av. Tezozomoc",62.0,2,10500.0,"['Av San Isidro 164', 'Industrial San Antonio', 'Azcapotzalco', 'Distrito Federal']",https://http2.mlstatic.com/D_NQ_NP_763988-MLM50089290018_052022-W.webp,Av San Isidro 164,Industrial San Antonio,Azcapotzalco,Distrito Federal
799,Renta Departamento De Lujo Con Terraza En Polanco Iv Sección | Calle Muy Tranquila | 192 M²,192.0,2,65000.0,"['Temístocles', 'Supermanzana 523', 'Cancún/benito Juárez', 'Quintana Roo']",https://http2.mlstatic.com/D_NQ_NP_607875-MLM50108213879_052022-W.webp,Temístocles,Supermanzana 523,Benito Juárez,Quintana Roo
